x,y,z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z
495.610443,485.828583,1393.592651,-59.279808,266.937103,1129.646606,11.021863,209.905075,1397.359985,-173.87056,187.465408,1364.363403
499.004791,482.910492,1408.845581,-59.140686,267.05481,1129.663574,11.064253,209.67952,1397.637207,-173.878601,187.920624,1364.4375
501.721039,480.306763,1424.105835,-58.990261,267.170593,1129.682495,11.125436,209.459793,1397.883789,-173.8479,188.37883,1364.52063
503.808197,477.822174,1439.481812,-58.821754,267.308411,1129.69873,11.151425,209.139343,1398.061279,-173.798996,188.861893,1364.615479
504.962311,475.4487,1454.821777,-58.63995,267.431976,1129.711792,11.074227,208.694382,1398.042725,-173.759827,189.319214,1364.709106
505.836487,473.536224,1470.022461,-58.45092,267.55896,1129.71875,11.363557,208.069061,1398.032471,-173.68428,189.734924,1364.807739
506.008148,471.491333,1485.291992,-58.231285,267.658539,1129.709351,11.320545,208.022079,1398.472534,-173.603867,190.143799,1364.915527
505.630737,469.640259,1500.51001,-57.994507,267.777435,1129.73291,12.315017,206.957672,1397.361816,-173.52063,190.581772,1365.05542
504.660675,468.094208,1515.498169,-57.724426,267.909546,1129.789429,12.402424,206.836639,1397.887451,-173.418777,191.024994,1365.214844
502.642761,466.341919,1530.520386,-57.490368,267.988098,1129.812378,12.571855,206.637741,1398.267212,-173.31572,191.428024,1365.375732
500.379669,465.356903,1545.335449,-57.268448,268.065613,1129.820679,12.625175,206.676743,1399.146851,-173.183945,191.788284,1365.523071
497.201904,463.937805,1559.618042,-57.029827,268.141388,1129.82666,12.648088,206.32373,1399.352173,-173.033722,192.138687,1365.69873
493.448029,462.507111,1573.866089,-56.792957,268.245911,1129.861938,12.75936,206.023071,1399.667114,-172.8853,192.457428,1365.865601
489.194122,461.923492,1587.7677,-56.566795,268.347717,1129.902954,12.429993,205.705246,1400.933105,-172.757339,192.744736,1366.021362
484.027557,461.117554,1600.602417,-56.30162,268.471619,1129.998291,12.44186,205.22084,1400.672119,-172.645767,193.006561,1366.153564
478.487885,460.782593,1613.227173,-56.204739,268.842987,1130.249634,12.650384,205.171692,1401.341675,-172.550964,193.231369,1366.265503
472.389984,460.852844,1625.571899,-55.895535,268.648254,1130.130005,12.553033,204.419022,1401.684448,-172.469162,193.42215,1366.360474
465.963928,460.961792,1637.061279,-55.727036,268.655731,1130.178223,12.7082,204.337616,1401.70813,-172.389511,193.599365,1366.446045
459.107544,461.26062,1647.801636,-55.573494,268.773193,1130.254517,12.926236,204.087006,1402.166626,-172.313217,193.748032,1366.511475
452.001923,462.078674,1658.076172,-55.752239,269.326324,1130.781616,12.717588,203.818619,1402.361328,-172.220306,193.867615,1366.567505
444.410339,463.103149,1667.465088,-55.218987,268.954498,1130.478027,12.854681,203.440475,1402.535645,-172.142792,193.959198,1366.620239
436.681976,464.472046,1676.040649,-55.008007,269.086212,1130.572632,13.75139,202.814865,1401.753296,-172.068863,194.024536,1366.661011
428.403809,466.405182,1683.762207,-54.690315,269.012115,1130.434204,13.724275,202.295425,1401.934814,-172.001801,194.060333,1366.701294
420.118835,468.491699,1690.664795,-54.542881,269.036774,1130.488892,13.828109,202.007721,1401.944458,-171.934189,194.051819,1366.705566
411.278381,471.404205,1697.08374,-54.260086,269.023682,1130.353638,13.821572,201.683838,1402.157837,-171.88327,194.020676,1366.696777
401.981964,474.992279,1702.302856,-54.155552,268.997498,1130.43811,13.885858,201.439926,1402.196777,-171.633194,193.939301,1366.412964
392.666656,479.038239,1706.73938,-53.952763,268.986694,1130.401367,13.785013,201.027939,1402.401245,-171.668884,193.776169,1366.476563
383.487457,482.956726,1710.295532,-53.898769,268.972076,1130.526855,13.734601,200.813812,1402.486694,-171.802444,193.738083,1366.576782
373.813354,488.01059,1712.945923,-53.798912,268.942566,1130.591309,12.860579,201.049377,1403.954468,-171.817047,193.573975,1366.493164
364.129486,493.130127,1714.741455,-53.716972,268.905396,1130.647217,12.805086,200.722687,1403.999146,-171.743591,193.309937,1366.263184
354.23584,498.714691,1715.590698,-53.653568,268.879395,1130.703613,12.599568,200.478317,1404.193604,-172.11705,193.245438,1366.609985
344.379822,504.314301,1715.385498,-53.604122,268.855774,1130.775635,12.688212,200.086868,1403.97168,-172.144318,192.928085,1366.50354
334.228027,510.680725,1714.359009,-53.586281,268.84787,1130.846313,12.568526,199.539505,1403.923584,-172.197769,192.557037,1366.384155
323.968506,517.262878,1712.330078,-53.590454,268.844971,1130.917847,12.193422,199.198273,1403.496948,-172.265305,192.153473,1366.259155
313.737854,523.944702,1709.541748,-53.60936,268.857239,1130.973877,12.359552,198.763443,1403.182617,-171.990402,191.122681,1365.733887
303.121429,531.098145,1705.577271,-53.642776,268.893982,1131.043579,12.608302,198.315582,1402.491943,-172.063629,190.750839,1365.456177
292.471771,538.497192,1700.766968,-53.707191,268.94339,1131.098999,12.244605,198.025116,1402.425049,-172.171478,190.313263,1365.205566
281.887848,545.823486,1694.959106,-53.763966,268.997192,1131.142822,12.011043,197.960846,1402.066528,-172.548187,189.84584,1365.301147
271.250885,553.345215,1688.137329,-53.848267,269.078613,1131.185669,11.16775,197.945328,1403.208252,-172.658844,189.214767,1364.952148
260.763641,561.012756,1680.483765,-53.953377,269.165405,1131.216919,10.804788,198.125031,1403.372192,-172.680786,188.41684,1364.750122
250.073822,568.69751,1671.778198,-54.084347,269.260529,1131.232788,10.348273,198.060379,1403.05481,-173.134583,187.891052,1364.420532
239.394684,576.161255,1662.209473,-54.221046,269.371582,1131.221436,9.872359,197.449631,1403.072144,-173.420578,187.213242,1364.174438
228.587448,584.026489,1651.654541,-54.303326,269.554016,1131.097046,9.790642,198.14473,1402.671021,-173.695465,186.441238,1363.908447
217.888245,591.522827,1640.27124,-54.633347,269.547546,1131.264648,9.293708,197.948776,1402.917114,-174.052002,185.70668,1363.697266
207.260315,598.524231,1628.406616,-54.846184,269.641144,1131.263672,9.053379,198.202744,1403.088135,-174.379288,184.961578,1363.361694
196.434006,605.311218,1615.874756,-55.051346,269.748749,1131.215088,8.636971,198.699295,1402.648926,-174.565964,184.131943,1363.114502
185.455002,612.103638,1602.289429,-55.430988,269.872589,1131.366943,8.654909,197.623032,1400.845703,-175.088867,183.328918,1362.636719
174.518036,618.506775,1588.086548,-55.826939,269.997192,1131.504028,8.019958,198.451675,1400.108887,-175.456238,182.450119,1362.289185
163.47995,624.569031,1573.340942,-56.184006,270.06424,1131.497559,7.489961,198.825684,1400.126099,-175.815674,181.584381,1361.925415
152.653976,630.088257,1558.049072,-56.567432,270.156891,1131.497559,6.715236,199.509888,1400.601196,-176.172653,180.752213,1361.506348
141.395126,635.239441,1542.413452,-56.928089,270.264313,1131.424194,6.109511,199.917252,1400.390869,-176.619202,179.761322,1361.114746
130.184067,639.759827,1526.363892,-57.54734,270.433197,1131.63269,5.491449,200.091873,1400.045166,-176.958389,178.964432,1360.849487
118.674904,643.679565,1510.284302,-58.040886,270.548462,1131.661377,4.607447,200.076035,1399.69165,-177.556015,178.048721,1360.135132
106.921242,646.71167,1493.940308,-58.579395,270.61734,1131.70874,3.876779,200.424622,1399.323853,-178.102798,177.141556,1359.646729
94.687286,649.216492,1477.737183,-59.149097,270.626648,1131.728882,3.116417,201.184204,1398.848999,-178.390579,175.809738,1359.181396
82.097023,650.893127,1461.509033,-59.678978,270.574127,1131.746704,2.17603,201.390396,1398.535522,-179.071014,174.88681,1358.584106
69.053886,651.844299,1445.319946,-60.2486,270.509705,1131.737427,1.425422,201.816742,1398.045776,-179.437683,173.958969,1358.197144
56.087646,651.897461,1429.244507,-60.932102,270.465332,1131.740845,0.706145,202.34166,1397.549927,-179.952271,173.032043,1357.711304
42.71888,651.322998,1413.612427,-61.706001,270.542297,1131.799316,-0.11089,202.998734,1397.055786,-180.457275,172.145386,1357.265503
29.44553,650.064331,1398.098267,-62.518494,270.567444,1131.780518,-0.90442,203.675278,1396.535522,-180.891144,171.272217,1356.804932
15.882152,648.264099,1383.301514,-62.958881,270.375183,1131.465942,-1.570751,204.311356,1395.968628,-181.416809,170.439407,1356.274902
2.53574,645.821899,1369.142334,-64.105728,270.497009,1131.636597,-2.194852,205.051178,1395.442505,-181.672287,169.773529,1356.038574
-11.181497,642.561035,1355.247925,-64.320053,270.252228,1131.190918,-2.80612,205.899918,1394.930786,-182.093689,169.036469,1355.567139
-24.79644,638.749329,1342.116211,-65.407524,270.415314,1131.579468,-3.343045,206.680038,1394.44873,-182.278259,168.436813,1355.413086
-38.654686,634.301453,1329.816528,-65.467377,270.058289,1130.80542,-3.292016,207.333511,1392.731445,-182.50087,167.83609,1355.183716
-53.06699,629.240723,1318.966064,-66.375931,270.077789,1130.75708,-4.071887,207.358521,1392.822998,-182.690918,167.253708,1355.001343
-67.187866,623.166382,1308.756348,-66.985992,270.012726,1130.609741,-4.643796,208.578445,1393.339722,-182.825104,166.715683,1354.865723
-81.412903,617.612915,1300.476807,-67.749321,270.133484,1130.515991,-5.367284,210.002274,1393.279175,-182.937714,166.131546,1354.724976
-95.414528,610.859253,1292.647339,-68.613564,270.409149,1131.015137,-5.893822,210.65329,1393.106323,-183.102982,165.448059,1354.435181
-109.672066,603.711182,1286.746826,-69.306129,270.618439,1130.432373,-6.188221,211.267319,1392.777222,-183.146286,165.101044,1354.454224
-123.879425,596.376892,1282.576416,-69.162239,270.449615,1129.64624,-6.318981,211.623871,1392.168091,-184.055161,165.384583,1355.415649
-137.852692,588.340088,1279.081177,-69.924042,270.695648,1129.805542,-7.069355,212.848831,1392.305176,-184.124847,164.930923,1355.321655
-151.633163,580.138489,1276.973267,-70.777847,270.974609,1129.963013,-7.449445,213.615479,1392.044922,-183.579224,163.650635,1354.197632
-165.617752,571.732605,1276.174561,-71.576561,271.210052,1130.005005,-7.591277,213.849152,1391.557739,-184.286667,163.914978,1355.307983
-178.469391,563.177795,1276.52417,-72.229118,271.362366,1130.166016,-7.986368,214.693726,1391.469604,-184.238373,163.71756,1355.135498
-191.352341,554.760925,1278.438965,-72.403023,271.232178,1129.126221,-8.396287,215.545074,1391.399414,-184.221786,163.389694,1355.135498
-203.542908,546.451477,1281.623413,-73.220917,271.370483,1129.41748,-8.785757,216.338959,1391.392456,-184.182693,163.05899,1355.151001
-215.321014,538.273193,1286.254517,-73.636803,271.313599,1128.870728,-9.091808,217.288437,1391.371582,-184.1138,162.74498,1355.202759
-226.3367,530.00061,1291.97522,-74.016159,271.520752,1128.823608,-9.373156,218.027145,1391.383667,-184.018646,162.413071,1355.292603
-237.232391,522.781433,1299.700073,-75.057724,271.467468,1129.377319,-9.730279,218.865067,1391.507813,-183.926727,162.124908,1355.391113
-246.229919,515.424072,1307.609131,-75.483261,271.650604,1129.832886,-10.143688,219.750092,1391.718994,-183.82547,161.568802,1355.59082
-255.794586,508.983795,1317.939209,-75.938583,271.505432,1129.873047,-10.707043,220.763657,1392.182617,-183.734131,161.56636,1355.617554
-264.056641,502.604828,1328.44397,-75.526703,271.992737,1129.726563,-10.785897,220.967163,1392.012329,-183.650269,160.96582,1355.819336
-270.941681,496.777802,1339.426392,-76.097778,271.860687,1129.849976,-11.056972,221.603592,1392.154663,-183.590698,160.983871,1355.853638
-277.251953,491.029266,1351.24231,-76.471916,271.980011,1130.106445,-11.380754,222.265213,1392.21582,-183.503174,160.421646,1356.017334
-283.078186,486.18219,1364.232422,-76.752121,272.088013,1130.226074,-11.85146,223.094727,1392.715576,-183.576035,160.172791,1355.943726
-287.790161,481.812805,1377.487427,-76.900993,272.124451,1129.929321,-11.84849,223.278122,1392.764404,-183.46875,159.994492,1356.079712
-291.961609,478.347046,1391.625488,-77.346245,272.157227,1130.061523,-12.045255,223.779053,1392.904419,-183.36615,159.868027,1356.228882
-294.846161,475.169617,1405.335449,-77.702408,272.186523,1130.078735,-12.219915,224.363754,1393.09314,-183.215424,159.770889,1356.353149
-297.365723,472.250061,1419.335327,-78.10305,272.013733,1129.931763,-12.553426,225.176727,1393.500854,-183.06897,159.711487,1356.478516
-298.822113,470.263123,1433.316284,-78.384827,272.057465,1129.856079,-12.934492,226.033997,1394.006104,-182.913651,159.66713,1356.603149
-299.758514,468.944153,1447.497192,-78.612541,272.037384,1129.86084,-13.254094,226.816528,1394.401611,-182.779236,159.646255,1356.719238
-300.078339,467.730652,1461.663086,-78.934616,271.871948,1129.765747,-13.43033,227.34433,1394.677734,-182.654068,159.639755,1356.81311
-299.164032,467.574921,1475.499512,-79.269707,271.765289,1129.624634,-13.698938,227.994644,1395.025635,-182.622238,159.641495,1356.949829
-298.129181,467.521027,1489.209473,-79.344696,272.156281,1129.755859,-13.073688,227.796066,1394.453247,-182.635178,159.679932,1357.009399
-296.120758,467.890686,1502.347046,-79.593643,272.193909,1129.689453,-13.228396,228.194244,1394.799194,-182.43512,159.67569,1357.182861
-293.659576,469.19696,1515.508301,-79.824745,272.213318,1129.655762,-13.577588,228.548859,1395.377319,-182.586411,159.818634,1357.312622
-290.623138,471.449188,1528.646851,-80.044655,272.234528,1129.60144,-13.600657,228.734818,1396.226807,-182.555176,159.840469,1357.549438
-286.413971,473.94809,1541.047485,-80.226509,272.261566,1129.566406,-13.587881,229.209213,1395.445557,-182.532043,160.070831,1357.435669
-282.300781,476.721741,1553.151489,-80.410034,272.295319,1129.536011,-13.870405,229.601608,1396.303345,-182.351761,160.256744,1357.564331
-277.157928,480.428619,1564.669312,-80.572617,272.327423,1129.513794,-14.062686,229.506882,1395.275146,-182.158493,160.30159,1357.618164
-271.599274,484.311279,1575.725098,-80.711845,272.372437,1129.488159,-14.04973,229.537704,1395.510986,-182.087555,160.410919,1357.708618
-265.70813,488.247162,1585.797974,-80.81601,272.425354,1129.478027,-14.008488,229.585419,1396.302612,-182.332703,160.725479,1358.116211
-258.973846,493.122406,1595.518066,-80.89373,272.483459,1129.453979,-13.508874,229.177048,1395.656372,-181.290085,160.389557,1357.430298
-252.231125,498.289948,1604.675659,-80.943382,272.553009,1129.446167,,,,-181.231522,160.517578,1357.458374
-244.538651,503.828339,1613.024902,-80.951469,272.63208,1129.439209,,,,-181.723511,161.028564,1357.62207
-236.958282,509.538116,1620.492798,-80.934471,272.713013,1129.436157,,,,-181.207306,160.850006,1357.656616
-228.09227,515.732117,1627.287842,-80.880638,272.796753,1129.442139,,,,-181.115524,161.027649,1357.664429
-219.271072,522.108398,1633.290527,-80.790878,272.882141,1129.444458,,,,-181.071259,161.276627,1357.665283
-210.788742,529.442444,1638.339966,-80.680992,272.972443,1129.447876,,,,-181.689438,162.062134,1357.951538
-201.46019,536.407532,1642.484497,-80.554726,273.083496,1129.466675,,,,-181.165222,161.991135,1357.751099
-192.22789,543.646423,1645.785156,-80.392197,273.205353,1129.467407,,,,-181.005066,162.25766,1357.713379
-182.106506,551.189453,1647.984497,-80.22924,273.33783,1129.484375,,,,-180.928787,162.661987,1357.701904
-172.090393,558.620056,1649.291748,-80.031242,273.48764,1129.492554,,,,-180.828033,163.026672,1357.636597
-161.738754,566.209229,1649.782349,-79.801422,273.648193,1129.521118,,,,-180.820145,163.50444,1357.643433
-151.536377,573.675842,1648.760742,-79.53981,273.819641,1129.555786,,,,-180.604309,164.27298,1357.785522
-140.781952,581.436707,1646.944946,-79.253029,273.983154,1129.565918,,,,-180.477905,164.797562,1357.779907
-129.922424,589.388062,1643.886963,-78.915871,274.176636,1129.585449,,,,-180.34935,165.346939,1357.826538
-118.771461,597.773743,1639.981689,-78.53035,274.400513,1129.597656,,,,-180.058685,165.821564,1357.703369
-107.453285,605.015259,1634.926392,-78.110954,274.608826,1129.587036,,,,-179.752319,166.338837,1357.537109
-96.247086,612.253113,1628.371338,-77.66964,274.804565,1129.571655,,,,-180.173508,167.434052,1358.064941
-85.316803,619.71991,1620.760742,-77.202492,274.996643,1129.574463,,,,-180.014343,168.133942,1358.098511
-74.044426,627.043762,1612.739502,-76.708519,275.194855,1129.578735,,,,-179.240616,167.955994,1357.794312
-63.145168,634.377808,1603.202026,-76.178741,275.447632,1129.614746,,,,-179.691544,169.554001,1358.372314
-52.227703,641.142395,1592.649536,-75.62236,275.671021,1129.624023,-6.735942,231.077911,1400.664673,-179.12915,170.078674,1358.139404
-40.929058,647.966064,1581.509766,-74.944336,275.838806,1129.491699,-5.071865,230.037338,1399.717407,-178.647858,170.58786,1357.922485
-30.11821,653.695251,1569.486938,-74.47467,276.09967,1129.64209,,,,-178.695038,171.40242,1358.204102
-19.109213,659.147644,1556.434814,-73.642456,276.179047,1129.384399,-2.110049,223.103775,1393.593018,-178.406403,172.396133,1358.036499
-8.131209,664.473816,1542.727051,-73.273254,276.676331,1129.781128,-1.420924,222.718079,1393.243286,-178.175934,173.216507,1357.978882
2.391989,668.695068,1528.262329,-72.635323,276.855042,1129.794312,-0.853796,222.444794,1392.906616,-177.959122,174.018036,1357.94812
13.451262,672.189697,1513.286011,-71.930206,276.982422,1129.754028,-0.906685,222.594864,1393.369507,-177.5103,174.684753,1357.652222
24.406818,675.139038,1498.60791,-71.491219,277.228912,1130.017578,-0.526227,222.954849,1393.298462,-176.756653,174.799683,1356.661133
35.630119,677.109802,1483.52478,-70.836624,277.380341,1130.028687,0.356734,222.165176,1392.654907,-176.478836,175.873703,1356.8125
46.70612,678.342896,1468.010132,-70.309006,277.592468,1130.100464,1.007383,221.935165,1392.281738,-176.286514,176.789536,1356.800659
57.951218,678.908081,1452.664429,-69.589645,277.617065,1130.160034,1.598087,221.803421,1391.94165,-176.045486,177.602509,1356.744019
69.604179,678.70874,1437.234131,-69.048004,277.670959,1130.19812,2.227274,221.87735,1391.412231,-175.811859,178.521652,1356.679443
81.259819,677.895447,1421.901855,-68.529175,277.792328,1130.233398,2.644993,221.985718,1391.266113,-175.857941,179.4272,1356.725464
92.900436,676.555054,1406.66272,-68.199135,278.05069,1130.520142,3.14897,221.736465,1391.057861,-175.685715,180.479294,1356.778198
105.096603,674.478455,1391.817993,-68.251358,278.578491,1131.211426,3.713951,221.771805,1390.805176,-175.422684,181.619141,1356.993286
117.214691,671.98468,1377.165894,-68.700897,279.591156,1132.391479,4.438807,221.925522,1390.57373,-175.216995,182.600967,1356.942871
129.719757,668.730408,1362.905518,-67.340736,278.737396,1131.30835,5.10383,221.897446,1390.216064,-174.907715,183.700592,1357.013062
142.027145,664.79657,1348.610107,-66.802879,278.826874,1131.120605,5.945844,222.010254,1389.598145,-174.450027,184.757217,1356.910156
154.7397,660.762024,1335.115601,-66.277153,278.744293,1130.94519,6.524883,222.016037,1389.33606,-174.133347,185.878784,1357.001465
167.329285,656.107239,1322.235962,-65.525528,278.627228,1130.34668,7.238433,221.7005,1388.941528,-173.851135,187.03627,1357.123169
179.567657,651.11554,1309.771973,-64.927399,278.691956,1129.822754,8.096922,222.060181,1388.390381,-173.538605,188.091095,1357.252319
192.1306,645.729187,1298.141113,-64.573662,278.826294,1129.627563,8.571197,222.222504,1388.299072,-173.226578,189.191284,1357.409424
204.407272,640.305481,1287.46582,-64.256798,278.944824,1129.485596,9.177251,221.876816,1387.965698,-172.939072,190.223831,1357.493652
216.666901,634.767273,1277.58606,-64.032478,279.065704,1129.398315,9.602015,221.949677,1387.739624,-172.698486,191.186722,1357.618408
228.912643,628.197144,1268.107666,-63.853966,279.164398,1129.289307,10.205086,222.10907,1387.253662,-172.551376,192.082535,1357.7323
241.196518,622.141418,1260.242676,-63.690411,279.286499,1129.178345,10.428887,222.414978,1386.782593,-172.67421,193.140106,1358.131836
253.504608,616.03363,1253.391846,-63.542469,279.405609,1129.070679,10.644397,222.441345,1386.698608,-172.35141,193.667191,1358.015259
266.003296,609.145447,1247.039551,-63.410362,279.562836,1128.961792,10.935732,222.237274,1386.635864,-172.502396,194.599152,1358.358154
278.644409,602.739868,1242.38269,-63.279064,279.737274,1128.865356,11.391321,222.508133,1386.877441,-172.411987,195.397446,1358.429688
291.408722,596.171875,1238.667236,-63.177147,279.903656,1128.773682,11.458724,222.366577,1387.089111,-172.36174,196.136902,1358.520264
304.125214,589.856812,1236.040771,-63.060822,280.050354,1128.695679,11.670568,222.665115,1387.004639,-172.301682,196.846161,1358.596191
316.906982,583.100464,1234.829224,-62.958412,280.184479,1128.612183,11.648321,222.707901,1386.655273,-172.233841,197.577682,1358.647095
330.03006,576.808167,1235.146118,-62.856129,280.308105,1128.527466,11.669654,222.282669,1386.816406,-172.127441,198.245361,1358.691528
342.869568,570.72345,1236.362305,-62.769897,280.387665,1128.434082,11.906586,222.367859,1386.902222,-172.029297,198.875458,1358.743286
355.582306,564.510071,1238.650513,-62.686363,280.455963,1128.362427,12.291075,222.955399,1386.906006,-171.908142,199.504471,1358.732056
368.075989,558.523743,1241.899292,-62.597767,280.50531,1128.278442,12.344678,222.984116,1387.163452,-171.754318,200.1194,1358.751587
380.219299,552.798462,1246.769653,-62.51199,280.537506,1128.202637,12.552562,222.971863,1387.379272,-171.372696,200.781113,1358.503784
392.217133,547.126465,1252.287964,-62.422169,280.563324,1128.138794,12.738884,222.973816,1387.563721,-171.198151,201.047104,1358.535278
403.8862,541.853333,1258.947021,-62.327702,280.582489,1128.079102,12.883524,222.957123,1387.7229,-171.015625,201.625488,1358.561646
414.976135,536.744995,1266.623657,-62.236988,280.586212,1128.032715,13.246089,223.141785,1388.109009,-170.656342,201.996979,1358.388916
425.405701,532.044067,1275.387695,-62.133942,280.586914,1127.993896,13.514988,222.927567,1388.382935,-170.62587,202.693436,1358.585327
435.44809,527.632935,1285.067017,-62.01223,280.581787,1127.959717,13.894194,222.940887,1388.779907,-170.44725,203.117249,1358.593872
444.766388,523.350891,1295.306152,-61.891716,280.557434,1127.923828,13.86632,222.690994,1388.705811,-170.278732,203.503723,1358.626343
453.453125,519.378601,1306.57373,-61.7523,280.526886,1127.905762,14.046336,222.338699,1389.124878,-170.155334,203.877167,1358.65271
461.662628,515.640991,1318.586304,-61.6129,280.481079,1127.901733,14.13588,222.10318,1389.520142,-170.070953,204.21637,1358.671021
469.068298,512.213806,1331.341675,-61.464523,280.448822,1127.915405,14.198092,221.828674,1389.770142,-170.175949,204.538513,1358.909668
475.813141,508.910431,1344.407959,-61.285198,280.390411,1127.907471,14.163909,221.370316,1389.742432,-169.944336,204.772156,1358.676636
482.118866,505.68927,1358.276733,-61.106434,280.340881,1127.922974,14.396109,221.349625,1389.778076,-169.870972,204.967972,1358.665771
487.76532,502.610199,1372.482056,-60.899445,280.275543,1127.929443,14.410951,221.358383,1390.46875,-169.793015,205.148483,1358.671631
492.750305,499.787506,1387.325439,-60.684875,280.214966,1127.94397,14.712592,221.380554,1390.426514,-169.723633,205.308487,1358.716675
497.07486,497.168732,1402.306885,-60.46471,280.136749,1127.970947,14.749083,219.562195,1389.740601,-169.661591,205.418198,1358.775879
500.524048,494.680969,1417.660156,-60.236046,280.062714,1128.012451,15.136757,219.746735,1390.924683,-169.588303,205.500656,1358.83252
